"FSC-A","SSC-A","Comp-APC-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
67765.4,81267.2,21.3325,259.984,158.786,0.00409965
125371,61864.2,14.7259,425.647,220.994,0.0055782
95154.5,87563,9388.03,467.872,223.441,0.00648662
66370.9,61433.8,103.649,244.547,166.914,0.00702129
62766.9,80200.4,5.66282,282.366,197.443,0.00838972
86028.4,45547.3,1396.81,345.766,165.679,0.00992688
66485.4,57430.9,546.517,289.128,116.604,0.010922
101937,54519.9,-5.16929,270.796,150.321,0.0143277
60561.5,81164.2,11.0253,262.53,163.209,0.0146876
69989.7,65448.1,19.4211,354.762,170.422,0.0160619
47377.5,65022.6,38.6778,302.492,194.533,0.0189766
103645,38708.9,20.2321,287.65,163.794,0.0191137
102935,51700.4,28.2813,313.934,145.953,0.0196226
108617,62293,26.4761,325.216,129.499,0.0207476
53739,68502.9,144.671,318.071,171.785,0.021253
74518.6,38206.8,883.104,250.712,111.098,0.0220554
99703.1,62704.7,-24.2559,186.297,70.9163,0.0221767
100076,39390.4,18.9464,310.076,91.458,0.0249164
72213.6,54094,30.3729,199.159,104.536,0.0254769
63931.3,34151.5,-1.21022,162.579,55.6218,0.0265501
81160.4,79506.2,25.115,226.017,106.768,0.0267594
62488.1,44381,-0.879698,151.156,87.5752,0.0275596
52999.5,43090.6,77.5349,229.429,129.041,0.0276989
45495.7,52396,17.7776,183.22,93.7603,0.0308796
120218,66811.6,64.7525,422.684,190.715,0.0337058
93005.2,60389.7,5.43172,347.162,187.348,0.0346195
120363,56789.6,145.162,364.372,130.153,0.0352274
111606,53502,23.8954,272.49,152.796,0.03757
117406,66503.9,22.8137,465.135,176.264,0.0387716
92703.5,54447,8.49965,383.546,234.052,0.0394926
81691.7,38526.9,96.0006,285.325,151.037,0.0415144
46959.6,72801.5,7354.35,273.973,146.279,0.0415482
79982.6,65875.2,39.3409,388.053,223.183,0.0423153
59196.7,67463.6,65176.6,327.176,175.356,0.0426186
60689.5,42650.3,33997.9,748.897,118.111,0.0437495
88583.9,69478,-5.13538,344.859,128.976,0.0444368
58523.1,40278.1,-9.85152,197.231,98.2965,0.0451778
75523.7,66555.1,36.197,325.286,106.571,0.046069
94754,85316.9,16.0233,376.05,172.954,0.0463264
89935.7,44741.8,18.8429,244.618,83.4923,0.0469541
102914,51662.2,28.4829,373.48,158.33,0.0472195
82896.8,84505.2,35.1029,447.792,150.907,0.0481577
56133.6,74751.3,11477.4,178.424,133.551,0.0487841
73730.7,54599.5,-16.9674,345.208,143.54,0.0501212
50264.7,73522.7,8010.25,248.445,48.0752,0.0508284
95238.3,50960.6,-40.8584,242.916,100.202,0.0515294
63448.6,65531.6,29.3626,225.235,142.431,0.0523444
90332.9,50263,21.447,339.832,181.841,0.0524327
80460.4,44271.9,21.1717,282.366,111.426,0.0532197
88792.4,38920.6,47.9235,242.278,64.8384,0.0563444
51193.1,72886.9,482.052,251.42,128.518,0.0601281
87927.5,50218.8,-4.60033,288.213,114.049,0.0617439
62339.8,88071.2,139801,1141.74,201.967,0.0649536
64391.5,26540.8,62.5642,195.374,84.0851,0.0658054
80604.5,84890.7,1735.51,421.374,189.161,0.0671636
110494,37510.5,12686.4,208.932,97.0477,0.0674433
81019.8,84398.1,143.1,365.067,169.058,0.0684491
67255.6,59624.8,57.3957,294.97,159.306,0.0713243
90293.8,46287.8,17.3592,267.053,117.98,0.071865
130165,83001.4,30.4304,452.252,179.767,0.0730986
50445.9,61472.9,9362.24,207.078,101.976,0.0739965
54854.9,59058.3,120.589,197.874,146.866,0.0758547
129966,75274.2,4.12998,427.3,164.054,0.0760188
75911.5,57406,11.44,278.276,87.5093,0.0769188
67590.4,80887.6,15.897,270.937,118.963,0.0772329
59408.5,43910.8,24.4112,183.936,137.013,0.0784471
104166,42232.6,3.99648,245.327,122.564,0.07888
69290.4,65533.2,152.909,261.752,70.5155,0.0799398
75208.8,59648.8,81.3908,344.859,118.242,0.0816716
47932.4,56555.8,32.2111,390.687,126.425,0.0820462
64335.8,61854.3,25.1964,273.62,96.5218,0.0821245
93766.9,54575.7,-9.0022,332.284,134.139,0.0823304
65563.5,66289.8,21.1297,221.608,94.7467,0.0829243
87982.2,67729.8,25.8803,307.198,167.369,0.0831074
98196.1,43245.7,42.2599,291.451,126.098,0.0834242
59231,68429.6,50198.7,647.876,161.063,0.0841873
129267,79652.6,66.7611,442.503,193.239,0.0848387
57443.9,35869.3,7.67674,248.02,94.2864,0.0857907
53463.9,82529.1,42.9564,322.835,184.045,0.0858334
75273.2,63471.7,-1.17316,228.221,118.111,0.0876607
50285.2,70695.4,13049.2,177.636,84.2827,0.0883299
60463,35443.9,145.801,242.349,77.165,0.0885537
58616.1,51178.9,8.68517,140.65,76.4396,0.0891532
51603.6,51942.2,17.5052,189.943,102.764,0.0894618
41168.3,45529.1,2.49772,156.331,146.279,0.091284
66436.4,62690.5,15.1482,230.139,69.0462,0.0915679
45460.9,51422.5,1.06648,115.18,49.344,0.0945144
56466.4,39371.9,-7.4252,206.436,91.5238,0.0958831
40528.1,51257.9,96.6325,178.138,125.836,0.0966346
59826.7,58176.3,148.54,195.803,94.1549,0.0966724
95945.6,63575.3,-25.8528,363.049,96.3246,0.0988577
60104.4,81278.2,10.0585,414.407,157.94,0.0995764
81530,35389.3,2.44971,260.055,106.178,0.109952
83576.3,56394.3,10.0805,348.767,124.397,0.111223
41250.2,35048.2,113.765,159.923,108.605,0.114576
76211.5,54562.1,106.197,277.43,91.5896,0.116912
42836.9,37980.7,971.638,145.257,45.8714,0.117736
60177.6,45288.1,-22.362,151.803,116.342,0.117997
100001,53621.3,-19.9871,281.802,139.755,0.118015
75002.6,30322.3,-17.5276,175.917,59.2283,0.12006
115793,59921,1679.81,350.161,145.627,0.121712
122653,64330.5,12.0464,411.783,140.408,0.122456
105482,37656.8,-11.1166,252.766,120.665,0.125383
131708,66818.9,17.9742,438.586,154.294,0.139806
81060,73340.4,303.197,217.48,133.028,0.141742
74087.4,30817.6,1.58464,189.443,101.056,0.143338
46144,46939.6,19.7796,183.363,103.026,0.14593
75918,37110.6,15691.4,202.87,115.949,0.14887
113354,56213.7,41.1405,387.845,156.443,0.150002
116923,63484.5,62.2419,270.867,120.665,0.15002
75592.4,61451,301.589,317.651,200.804,0.150548
53678.2,60113.8,17.6677,199.659,82.3064,0.154694
66288.9,64929.1,67.3032,228.221,96.5876,0.155818
113588,61399.1,31.3891,314.285,161.778,0.15618
52410.7,48546.1,23.9192,148.783,71.317,0.158112
73737.5,27697.7,44.9829,196.231,87.9043,0.158228
137142,66786.6,15.0508,374.244,172.11,0.158431
55963.8,82627,651.419,256.588,122.433,0.160016
70097.2,69839.6,145.657,208.932,45.7378,0.161061
42493.9,59921,16.7717,237.596,123.349,0.16334
78982.4,58607.8,19.6036,398.373,124.527,0.163731
